,modelname,category,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
154,Offset In-Line Helical Gear Reducer Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-150_1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-150_3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-150_2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-150_1.jpg
155,Oil Field Pressure Gauge Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-721.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-721.jpg
156,Oil Field Relief Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-709-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-709-right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-709-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-709-front.jpg
157,Oil Patch Swing Check Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-707-right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-707-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-707-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-707-right.jpg
158,Oilfield Backpressure Regulator Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-715.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-715.jpg
159,Oilfield Production Regulator Cutaway (Big Joe),,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-704.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-704-details.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-704-side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-704.jpg
160,Open Drive Refrigeration Compressor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-140_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-140_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-140_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-140_Close.jpg
161,Parallel-Shaft Helical Gear Reducer Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-140.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-140.jpg
162,Permanent Magnet DC Motor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-940.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-940.jpg
163,Permanent Magnet DC Motor Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_417-000.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_417-000.jpg
164,Phillips Cascade Process (LNG) System Training Aid,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-901-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-901-read.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-901-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-901-Front.jpg
165,Piping Component Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/865-PAC1_1.jpg,null,https://tech-labs.com/sites/default/files/product_images/865-PAC1_2.jpg,https://tech-labs.com/sites/default/files/product_images/865-PAC1_1.jpg
166,Piping System Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-299.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-299-side2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-299-side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-299.jpg
167,Piston Check Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-706-right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-706-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-706-left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-706-right.jpg
168,Planetary Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-280_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-280_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-280_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-280_Left.jpg
169,Planetary Gear Reducer Dissectible,,null,null,null,null,null
170,Plate-Type Heat Exchanger Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-284-Side.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-284-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-284-Side.jpg
171,Pneumatic Component Cutaway Set,,null,https://tech-labs.com/sites/default/files/product_images/DAC_760C.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_760-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_760C-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_760C.jpg
